,gas/electric,rent length,bedrooms,price,bathrooms,master,storage?,balcony/garden,electric/solar,AC,parking,SK,public transpo,loud neighborhood,construction to building,furnished?,pets,smoke,livingroom,accessible?,where,city,phone number,name
210,3,12,5,4000,2,1,2,4,5,2,2,5,3,3,2,1,1,1,4,3, ,0,1000210,person210
211,5,12,3,8000,1.5,3,4,5,1,5,3,1,4,4,5,3,1,1,5,5, ,1,1000211,person211
212,3,24,4,5000,1,1,3,5,4,4,2,3,5,5,5,3,1,1,5,5, ,1,1000212,person212
213,4,12,5,6000,2,4,4,4,5,5,3,5,5,3,4,2,2,1,4,4, ,,1000213,person213
214,3,24,3,4000,1.5,1,4,5,5,1,1,1,5,4,4,1,3,2,3,1,Merkaz,1,1000214,person214
215,5,24,4,7000,2,5,4,5,3,2,4,5,5,2,2,1,1,1,4,5, ,,1000215,person215
216,5,12,4,2000,1.5,3,5,5,5,5,1,1,5,2,4,2,3,1,2,5, ,1,1000216,person216
217,5,24,4,6000,2,4,1,5,5,1,4,5,5,5,5,1,5,1,5,5, ,0,1000217,person217
218,5,12,3,4000,1,3,4,5,2,5,2,5,5,4,5,1,1,1,4,2, ,1,1000218,person218
219,5,12,3,4000,1.5,1,4,5,5,3,3,5,5,3,5,1,3,1,4,2, ,,1000219,person219
220,5,12,4,3000,1.5,1,5,5,5,4,3,5,5,5,3,4,1,4,4,5,Jerusalem ,1,1000220,person220
221,5,24,4,4000,2,3,3,5,2,4,3,1,4,3,5,1,5,1,3,3, ,1,1000221,person221
222,3,1,5,4000,2,4,5,3,5,4,5,5,4,1,5,3,1,3,5,5,Merkaz,1,1000222,person222
223,3,12,3,6000,1.5,4,4,4,5,4,3,3,5,4,4,3,1,1,4,3,Jerusalem ,1,1000223,person223
224,2,6,3,4000,1,2,5,4,5,3,3,1,4,5,5,5,4,3,4,4, ,1,1000224,person224
225,4,6,3,6000,1,2,2,2,4,5,1,1,5,2,3,4,1,1,2,1, ,1,1000225,person225
226,1,24,5,6000,2,4,4,5,3,5,5,4,4,3,5,3,5,1,4,5,Merkaz,1,1000226,person226
227,5,12,5,6000,2,5,2,4,5,5,4,3,5,4,5,1,2,1,5,5, ,1,1000227,person227
228,5,12,2,3000,1,1,1,3,1,4,1,1,5,3,3,2,2,1,2,1, ,1,1000228,person228
229,2,12,4,5000,1,5,5,2,5,5,3,1,5,5,5,1,1,1,4,5, ,1,1000229,person229
230,5,12,3,5000,1.5,3,2,5,5,4,1,1,5,5,5,1,2,2,3,5,Merkaz,1,1000230,person230
231,5,24,3,4000,1.5,3,3,1,4,3,1,1,1,2,5,3,1,1,4,5, ,1,1000231,person231
232,4,24,4,4000,1.5,3,4,3,4,4,2,5,5,4,5,2,1,2,4,5, ,0,1000232,person232
233,5,12,2,4000,1,3,5,4,4,5,4,3,5,3,5,2,1,1,5,5, ,1,1000233,person233
234,5,24,3,4000,1.5,3,3,3,2,5,5,5,5,5,5,3,1,1,5,5, ,1,1000234,person234
235,1,24,3,8000,1,1,1,3,3,5,1,1,4,5,5,4,1,3,5,1, ,1,1000235,person235
236,4,12,5,9000,2,1,3,5,5,5,1,5,5,1,3,3,2,5,4,1, ,1,1000236,person236
237,5,12,5,6000,2,3,4,5,5,5,1,5,5,4,5,2,4,1,4,2, ,1,1000237,person237
238,4,12,4,3000,2,4,4,3,5,5,1,1,4,5,5,4,5,1,3,5, ,,1000238,person238
239,4,2,4,6000,2,5,5,5,3,5,5,5,5,4,5,3,4,1,4,3, ,1,1000239,person239
240,1,12,2,4000,1.5,3,2,5,5,5,3,5,5,2,4,3,5,3,5,4, ,,1000240,person240
